t,Sequenz,u1(t),u2(t),x1(t),x2(t),x3(t),v(t)
0,1,0.0,0.0,5.988230310832775,2.3312883700077487,1.2121811187149776,4.544361987266534
1,1,2.194408218563789,2.394380696320899,1.4674600298342877,1.2137185505027106,1.4784583602157038,4.936055715234832
2,1,4.196763129849512,4.603297786261963,1.3144146084312593,1.6227364736952679,1.5351219108992553,5.327472495789339
3,1,6.017418592842127,6.635740814376816,1.4918537879402867,1.6779198410819751,1.5988703971596363,5.3357556750928845
4,1,7.66648840195359,8.500488522147531,1.7193547113335992,1.564765588692954,1.8898464561544672,5.568579325003407
5,1,9.15384252294092,10.20610610850915,1.7105909509873216,1.964953802170048,1.703645656181471,6.039534988300787
6,1,10.489103564555391,11.760942680007094,2.0523072782403347,1.882917815828432,2.0277606974555002,6.171159371073298
7,1,11.681643485922887,13.173128890587485,2.2271796002657247,2.3293739972550105,2.331314308301109,6.651560511945955
8,1,12.740580539655397,14.450574771020358,2.4904994239364897,2.6779750007833907,2.312195199406088,7.037789661006698
9,1,13.674776450693665,15.600967747955787,2.6791368296289724,2.521222145033639,2.589026853486795,7.039462173097385
10,1,14.492833830880976,16.63177085261289,3.1513917177611055,2.933523739833431,3.1852687009094427,7.7590678384472715
11,1,15.203093829268095,17.550221119101746,3.361450779165266,3.1186656304012383,3.016952395133563,7.934513815959428
12,1,15.813634018149372,18.36332817237822,3.6310548234386233,3.2276252273860124,3.3031747343335653,8.31463518051354
13,1,16.33226651482995,19.07787300583168,3.5480306528854797,3.722680393234361,3.526260710692165,8.228109570042488
14,1,16.76653633912418,19.700406948505584,3.725894165708548,3.585289013438903,3.68343840865094,8.736960545635327
15,1,17.12372000658513,20.23725082195104,4.1035370942861045,4.241691414743319,3.780052092058733,8.714739720273343
16,1,17.410824357465277,20.694494286713205,4.4162176102239705,4.274120747989167,3.966357870789115,9.214726453853466
17,1,17.634585621408327,21.077995378450574,4.259391101294875,4.444469954669356,4.379998317619279,9.091927278181627
18,1,17.801468717872186,21.393380233687214,4.8902880772153825,4.682139546330097,4.417657475412645,9.217929245976698
19,1,17.917666792283104,21.64604300519791,4.991828026072321,4.754418321096105,4.5340628206809415,9.66631760054696
20,1,17.989100987920924,21.841145967026137,5.171836150890395,4.8969632247333665,4.8943211761610925,9.512909533933076
21,1,18.021420453535498,21.983619809134996,5.32576284449011,5.028514179962448,4.915889069452155,9.831976285154678
22,1,18.020002586694282,22.078164121691003,5.3696554767997045,5.359831631482954,5.340768578782019,9.976188633215973
23,1,17.989953512861,22.12924806898085,5.625284726908955,5.526605337056589,5.346490760500267,10.31505685015404
24,1,17.936108800205588,22.141111252960982,5.701444505792224,5.2701773178254685,5.288534506309723,10.094880597626153
25,1,17.86303441014509,22.11776476644014,5.750786827495413,5.390004498500466,5.609260613492682,10.267621112734577
26,1,17.775027883615905,22.062992435894728,5.9863561841804005,5.661231939260253,5.364879269290724,10.270959353806354
27,1,17.676119763077075,21.98035225391719,5.923870493042142,5.827131311276274,5.330302265404673,10.452497817443815
28,1,17.570075250244713,21.873178001297177,6.042699856288247,6.116521559804227,5.524965258206492,10.448407971205025
29,1,17.460396099557613,21.74458105873569,6.418559328479264,6.039806091925169,5.629850482975023,10.548285606067434
30,1,17.35032274737401,21.597452408192055,6.119119636410984,5.981604938753858,5.530829023560194,10.194667171216775
31,1,17.24283667689945,21.43446482386392,6.427466580001023,5.8642997166317326,5.142895160712051,10.479172534673546
32,1,17.140663018845878,21.25807525279997,6.668891659424673,5.983482035815389,5.448453623231932,10.161682494901074
33,1,17.046273387821792,21.07052738514568,6.5636408256464325,6.068736692303142,4.915578494871907,9.960424617826352
34,1,16.961888954453578,20.873854414021963,6.679241796119199,6.519385670830279,5.082749889240365,9.841053808035031
35,1,16.88948375323804,20.669881985036596,6.7459504111641895,6.504294501552164,4.9112476555646705,9.685622310013695
36,1,16.83078822612596,20.460231335428787,6.648820590250323,6.754914207983155,4.796196610840554,9.762144226922304
37,1,16.787293001837014,20.246322622846336,6.855897506071463,6.543787649667336,4.608728116497039,9.544649615284891
38,1,16.760252910905507,20.02937844375586,6.924621102068179,6.776950583784765,4.8694150704610495,9.444110893056637
39,1,16.75069123645764,19.81042754148605,6.9878974137288035,6.687086320664118,4.5022324103405555,9.383979953902939
40,1,16.759404200719658,19.590308703903503,7.241928958357552,7.101919242391253,4.093921491993915,9.097611771402544
41,1,16.786965687257123,19.369674850721793,7.428256628125716,7.230116260817859,4.016716848706878,8.682778958290683
42,1,16.83373219894567,19.14899731044312,7.37209162709791,7.435967128342954,3.469452991730259,8.321663330921679
43,1,16.89984805167245,18.92857028693318,7.378490009143691,7.447015495769513,3.172154109917862,8.31809734265626
44,1,16.985250803769034,18.70851551562872,7.814943479234837,7.664529773645519,3.38506869805158,7.757998969783682
